gene_id,log2FC,pvalue,padj,mean_expr,species,de_method,dataset_id
g22247,0.94123599244422,0.0193506035590936,0.0644885112010431,45.6135144766222,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22248,0.336701889588563,0.537114634518633,0.683369341686716,14.5841997296131,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22250,-0.347873317207192,0.0438664282400152,0.118893701471792,1067.32666516629,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22252,-0.0163362413948841,0.909001274832662,0.947545822015474,535.344403786324,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22253,-0.664426224566443,0.172294553665934,0.319792410897701,30.8664278770841,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22254,0.252463594389144,0.0851594787889853,0.192520320167454,330.072833803128,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22255,0.486061084558222,0.0834044612348511,0.189671384651745,65.925763311293,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22256,0.131571716604289,0.583353264897769,0.721833406869854,1327.49084231604,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22257,0.278885156869254,0.528562578678973,0.676585193270095,32.1896898471901,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22258,-0.500182915483006,0.00335273005339739,0.0161316037599425,608.108680778465,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22259,0.531700937819841,0.0130985435129042,0.0477678160563554,189.360615653738,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22260,-0.583975327145371,0.0241678286433094,0.0762692308412658,66.6182776765141,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22262,0.708638629217951,3.36150143221494e-07,5.72201629485337e-06,355.024007552788,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22265,0.0518465893531771,0.944138007253653,0.968677531173464,32.1285417800638,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22268,-0.161284552129397,0.385803579463735,0.552570460235251,142.185800927958,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22272,-0.32254369035668,0.105127018284491,0.224030194911194,131.57100234832,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22273,-2.55398001604838,5.22123320514503e-12,2.20110603082071e-10,89.5314640701768,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22274,-0.110783839489183,0.489014725890062,0.644190679353851,234.590832368672,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22275,0.135528173218823,0.394001403181986,0.56047247917421,323.355294541711,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22276,-1.10546911000552,0.0314132919510007,0.0926376592240723,14.7501573238304,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22277,-0.503324684712538,0.0241826780403696,0.0762947478517962,99.2331597322678,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22278,0.210370070456216,0.0955154083472479,0.209169851605976,784.4400486573,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22279,-0.266930355996403,0.153467301876586,0.29443133576267,1117.28672048074,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22280,-0.294270452431368,0.0367742499553446,0.104410594520671,891.393530947774,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22281,-0.0337836245597567,0.859347066221212,0.914986586935031,191.849071038744,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22282,0.414270983360167,0.349235388140538,0.517465228140341,23.5742755582798,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22284,-0.176979193645391,0.374061678021667,0.54076705359481,119.157748390737,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22285,-0.531140470974235,0.00910377690018031,0.0359279123334105,229.348579356969,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22287,0.792895769389753,0.105319683831608,0.224281083912597,18.0978418253231,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22288,0.586617554450827,2.28493960377487e-06,3.17814182615459e-05,943.977615234657,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22289,-0.921120286755357,9.64402652572161e-07,1.48307358882549e-05,425.046932412183,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22290,-0.523959025886768,0.00229604733874606,0.0119291877170444,827.365044601277,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22291,-0.526603662543212,0.00269599072866004,0.0135609887842239,201.590786829416,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22292,-1.3986606241821,1.51933027348329e-11,5.92252680429956e-10,154.848373919519,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22293,0.420427876842127,0.30240384375831,0.471238211394509,184.087512589177,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22294,-0.097867851175444,0.464715771704746,0.624214909702566,936.858929364213,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22295,-0.0308169999878027,0.852837327672967,0.910928316502541,1139.68941744388,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22296,4.42861921679726,1.07102682896929e-32,4.43383686656709e-30,91.4558111370995,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22297,-0.015851280380793,0.93124253523881,0.961293633892442,203.350546661016,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22298,0.359387807435991,0.140859390081064,0.276638233932954,89.9713427523206,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22299,-1.68590554591541,1.51146514862174e-07,2.76620840948906e-06,251.630878505439,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22300,-1.01380736819127,0.0618790651038212,0.153515647556241,15.2117182208997,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22302,-0.587996141695264,0.085932506836934,0.193865608612283,35.2699711533685,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
